LinINum,LinFMan,LinFecIni,LinFecFin,LinIBlo,LinFManTip,LinNom,LinBarA,LinBarB,LinFOpe,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinDisEne,LinVI,LinCOMA,LinFCC
576,T,MesAbr-2028,MesAbr-2028,12,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
577,T,MesAbr-2028,MesAbr-2028,13,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
578,T,MesAbr-2028,MesAbr-2028,14,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
579,T,MesAbr-2028,MesAbr-2028,15,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
580,T,MesAbr-2028,MesAbr-2028,16,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
581,T,MesAbr-2028,MesAbr-2028,22,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
582,T,MesAbr-2028,MesAbr-2028,23,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
583,T,MesAbr-2028,MesAbr-2028,24,F,Ciruelos Aux 220->Ciruelos 220 I,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
584,F,MesAbr-2024,MesSep-2024,1,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
585,F,MesAbr-2024,MesSep-2024,2,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
586,F,MesAbr-2024,MesSep-2024,3,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
587,F,MesAbr-2024,MesSep-2024,4,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
588,F,MesAbr-2024,MesSep-2024,10,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
589,F,MesAbr-2024,MesSep-2024,11,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
590,F,MesAbr-2024,MesSep-2024,12,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
591,F,MesAbr-2024,MesSep-2024,13,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
592,F,MesAbr-2024,MesSep-2024,14,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
593,F,MesAbr-2024,MesSep-2024,15,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
594,F,MesAbr-2024,MesSep-2024,16,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
595,F,MesAbr-2024,MesSep-2024,22,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
596,F,MesAbr-2024,MesSep-2024,23,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
597,F,MesAbr-2024,MesSep-2024,24,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
598,F,MesAbr-2025,MesSep-2025,1,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
599,F,MesAbr-2025,MesSep-2025,2,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
600,F,MesAbr-2025,MesSep-2025,3,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
601,F,MesAbr-2025,MesSep-2025,4,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
602,F,MesAbr-2025,MesSep-2025,10,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
603,F,MesAbr-2025,MesSep-2025,11,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
604,F,MesAbr-2025,MesSep-2025,12,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
605,F,MesAbr-2025,MesSep-2025,13,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
606,F,MesAbr-2025,MesSep-2025,14,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
607,F,MesAbr-2025,MesSep-2025,15,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
608,F,MesAbr-2025,MesSep-2025,16,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
609,F,MesAbr-2025,MesSep-2025,22,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
610,F,MesAbr-2025,MesSep-2025,23,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
611,F,MesAbr-2025,MesSep-2025,24,F,Rio Tolten 220->Rio Tolten Aux S 220,*,*,*,*,*,*,*,189.5,189.5,*,*,*,*,*,*,*
612,F,MesAbr-2024,MesSep-2024,1,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
613,F,MesAbr-2024,MesSep-2024,2,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
614,F,MesAbr-2024,MesSep-2024,3,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
615,F,MesAbr-2024,MesSep-2024,4,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
616,F,MesAbr-2024,MesSep-2024,10,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
617,F,MesAbr-2024,MesSep-2024,11,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
618,F,MesAbr-2024,MesSep-2024,12,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
619,F,MesAbr-2024,MesSep-2024,13,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
620,F,MesAbr-2024,MesSep-2024,14,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
621,F,MesAbr-2024,MesSep-2024,15,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
622,F,MesAbr-2024,MesSep-2024,16,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
623,F,MesAbr-2024,MesSep-2024,22,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
624,F,MesAbr-2024,MesSep-2024,23,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
625,F,MesAbr-2024,MesSep-2024,24,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
626,F,MesAbr-2025,MesSep-2025,1,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
627,F,MesAbr-2025,MesSep-2025,2,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
628,F,MesAbr-2025,MesSep-2025,3,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
629,F,MesAbr-2025,MesSep-2025,4,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
630,F,MesAbr-2025,MesSep-2025,10,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
631,F,MesAbr-2025,MesSep-2025,11,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
632,F,MesAbr-2025,MesSep-2025,12,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
633,F,MesAbr-2025,MesSep-2025,13,F,Rio Tolten Aux N 220->Rio Tolten 220,*,*,*,*,*,*,*,255.304289,255.304289,*,*,*,*,*,*,*
