LinINum,LinNom,LinFOpe,LinFecOpeIni,LinFecOpeFin,LinBarA,LinBarB,LinBarSis,LinFPrtFlu,LinFPrtHis,LinNIntHis,LinFPrtInd,LinFCC,LinPotMaxA->B,LinPotMaxB->A,LinFMax,LinFPri,LinFN-1,LinPotN-1A->B,LinPotN-1B->A,LinVolt,LinR,LinX,LinFPer,LinNTra,LinDisEne,LinFPeaCal,LinPeaSis,LinPeaTip,LinFTipDef,LinFInv,LinFecInv,LinVI,LinCOMA,LinVidUti,LinEmp,LinAux
200536,Maria Elena Aux 220->Frontera Aux 2 220 III,F,MesJun-2025,*,Maria Elena Aux 220,Frontera Aux 2 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,5.19421014,26.8352469,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp2019_cc-QUI-ME-KI_Mod_67.41
200537,Maria Elena Aux 220->Frontera Aux 2 220 IV,F,MesJun-2025,*,Maria Elena Aux 220,Frontera Aux 2 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,5.19421014,26.8352469,T,2,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp2019_cc-QUI-ME-KI_Mod_67.410004
200538,Frontera Aux 2 220->Frontera 220 III,T,MesJun-2025,*,Frontera Aux 2 220,Frontera 220,*,T,T,101,T,F,1668.66,1668.66,T,T,T,1124.33,1124.33,220,0,0.0001,T,1,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_cc-QUI-ME-KI_SxQUI_Mod_Aux
200539,Frontera Aux 2 220->Ana Maria 220 III,T,MesJun-2025,*,Frontera Aux 2 220,Ana Maria 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,3.082617294,15.92596255,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp-40
200540,Frontera Aux 2 220->Ana Maria 220 IV,T,MesJun-2025,*,Frontera Aux 2 220,Ana Maria 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,3.082617294,15.92596255,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp-40
200541,Ana Maria Aux 220->Ana Maria 220 II,T,MesJun-2025,*,Ana Maria Aux 220,Ana Maria 220,*,T,T,101,T,F,1668.66,1668.66,T,F,T,1124.33,1124.33,220,0,0.0001,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Aux
200542,Maria Elena Aux 220->Ana Maria Aux 220 I,T,MesJun-2025,*,Maria Elena Aux 220,Ana Maria Aux 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,2.111592846,10.90928435,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp-27.4
200543,Maria Elena Aux 220->Ana Maria Aux 220 II,T,MesJun-2025,*,Maria Elena Aux 220,Ana Maria Aux 220,*,T,T,101,T,F,544.33,544.33,T,F,T,544.33,544.33,220,2.111592846,10.90928435,T,5,1,T,TxT,Cmn,F,F,*,0,10000,30,CNE,Exp2019_SxSal_Exp-27.4
200544,Palafitos 110->Palafitos 13.8 II,T,MesJun-2024,*,Palafitos 110,Palafitos 13.8,*,T,T,101,T,F,33,33,F,F,T,33,33,110,0.86,41.527,T,2,1,T,STx,Cmn,F,F,*,0,10000,30,CNE,110/13.8
200545,Encuentro 220->Pallata 220,T,MesOct-2020,*,Encuentro 220,Pallata 220,*,T,T,101,T,F,228.63,228.63,F,F,T,228.63,228.63,220,2.2265,12.383,T,2,1,T,TxA,Cmn,F,F,*,0,10000,30,CNE,35
